"","pairnum","sex","zygosity","moed","faed","faminc","english","math","socsci","natsci","vocab"
"1",1,"2","1","3","4","2",14,13,17,18,14
"2",1,"2","1","3","4","2",11,14,15,10,12
"3",4,"2","1","1","1","1",20,20,16,16,13
"4",4,"2","1","1","1","1",17,19,13,13,14
"5",5,"2","1","1","1","1",11,8,15,16,12
"6",5,"2","1","1","1","1",16,13,13,8,15
"7",7,"1","2","3","2","4",9,19,7,10,6
"8",7,"1","2","3","2","4",8,16,15,17,11
"9",10,"1","2","5","4","3",15,23,23,21,21
"10",10,"1","2","5","4","3",15,13,13,20,19
"11",11,"2","2","4","2","3",20,17,16,12,12
"12",11,"2","2","4","2","3",19,18,13,18,15
"13",12,"1","1","4","6","3",26,20,27,23,28
"14",12,"1","1","4","6","3",25,20,29,24,30
"15",16,"1","1","4","6","5",28,31,31,29,30
"16",16,"1","1","4","6","5",27,28,28,27,30
"17",17,"2","2","5","4","1",24,25,17,21,22
"18",17,"2","2","5","4","1",27,25,22,24,23
"19",19,"1","1","3","2","2",19,19,17,22,16
"20",19,"1","1","3","2","2",19,22,13,14,17
"21",20,"1","1","2","1","2",7,18,15,14,5
"22",20,"1","1","2","1","2",16,15,17,15,7
"23",26,"2","1","3","5","4",22,23,23,24,23
"24",26,"2","1","3","5","4",21,24,24,24,26
"25",27,"2","2","4","1","3",8,7,13,3,10
"26",27,"2","2","4","1","3",16,15,13,14,15
"27",28,"2","1","4","3","2",25,17,21,18,23
"28",28,"2","1","4","3","2",22,13,19,15,19
"29",29,"1","1","4","4","4",21,14,25,23,25
"30",29,"1","1","4","4","4",18,17,17,20,20
"31",30,"2","2","5","3","2",22,21,16,21,27
"32",30,"2","2","5","3","2",24,20,25,18,26
"33",33,"2","2","6","6","2",23,26,25,20,23
"34",33,"2","2","6","6","2",18,13,24,18,22
"35",35,"2","1","2","4","2",18,19,21,20,21
"36",35,"2","1","2","4","2",23,20,16,18,24
"37",36,"1","1","3","5","5",19,25,25,28,26
"38",36,"1","1","3","5","5",23,29,24,23,27
"39",37,"2","1","2","1","1",13,14,14,11,13
"40",37,"2","1","2","1","1",14,12,13,13,16
"41",38,"1","1","6","5","4",10,17,12,20,9
"42",38,"1","1","6","5","4",15,16,21,14,10
"45",42,"1","1","4","4","1",23,11,21,21,21
"46",42,"1","1","4","4","1",24,23,24,21,21
"47",46,"2","1","4","4","4",17,5,14,15,18
"48",46,"2","1","4","4","4",20,13,13,13,18
"49",48,"1","2","4","6","5",20,27,23,23,18
"50",48,"1","2","4","6","5",24,28,28,31,28
"51",49,"2","1","3","4","2",24,30,25,27,28
"52",49,"2","1","3","4","2",27,30,25,28,29
"53",50,"2","1","2","1","3",21,7,19,14,16
"54",50,"2","1","2","1","3",22,14,16,18,15
"57",55,"1","1","4","3","3",27,25,26,25,25
"58",55,"1","1","4","3","3",22,30,25,27,26
"59",57,"2","1","4","3","5",17,11,20,19,18
"60",57,"2","1","4","3","5",20,18,20,19,18
"61",59,"2","1","3","3","3",14,13,17,9,18
"62",59,"2","1","3","3","3",14,14,19,13,18
"63",61,"2","2","3","4","3",23,22,28,26,27
"64",61,"2","2","3","4","3",27,26,26,27,28
"65",63,"2","1","4","2","1",20,20,21,22,24
"66",63,"2","1","4","2","1",24,25,21,23,30
"67",64,"1","1","4","5","6",16,23,20,23,23
"68",64,"1","1","4","5","6",21,27,25,26,25
"69",65,"1","1","4","2","2",17,22,28,25,24
"70",65,"1","1","4","2","2",17,23,26,25,22
"71",67,"1","1","3","3","4",19,23,26,27,26
"72",67,"1","1","3","3","4",17,33,25,25,27
"73",68,"1","1","3","3","1",25,23,22,26,24
"74",68,"1","1","3","3","1",26,30,29,21,24
"75",71,"1","1","2","2","1",23,20,22,18,23
"76",71,"1","1","2","2","1",25,25,27,25,23
"77",72,"2","1","4","4","5",19,29,25,24,28
"78",72,"2","1","4","4","5",27,24,26,24,25
"79",74,"1","1","5","3","2",19,29,25,24,23
"80",74,"1","1","5","3","2",14,25,15,22,18
"81",78,"2","1","5","6","4",27,31,22,26,20
"82",78,"2","1","5","6","4",25,25,26,28,23
"83",79,"1","2","3","4","4",23,32,17,26,22
"84",79,"1","2","3","4","4",18,11,15,14,18
"85",80,"1","1","4","6","4",17,20,22,22,23
"86",80,"1","1","4","6","4",14,21,17,15,21
"87",82,"2","1","3","4","4",25,18,23,17,22
"88",82,"2","1","3","4","4",27,23,28,26,29
"89",83,"2","1","4","5","4",24,26,21,22,22
"90",83,"2","1","4","5","4",26,25,26,24,24
"91",84,"2","2","3","2","6",19,11,17,15,13
"92",84,"2","2","3","2","6",19,24,17,18,18
"93",85,"1","1","4","6","5",24,24,28,26,27
"94",85,"1","1","4","6","5",21,27,29,29,26
"95",88,"2","1","3","4","7",25,19,26,15,25
"96",88,"2","1","3","4","7",25,20,25,25,27
"97",89,"2","2","3","2","4",12,17,15,11,19
"98",89,"2","2","3","2","4",19,17,18,17,19
"99",90,"2","1","3","3","1",11,14,13,8,10
"100",90,"2","1","3","3","1",13,20,16,13,14
"101",91,"1","1","4","6","5",25,25,20,17,21
"102",91,"1","1","4","6","5",22,28,21,20,18
"103",92,"1","2","3","4","4",20,24,27,18,23
"104",92,"1","2","3","4","4",18,17,12,17,24
"105",96,"2","1","4","5","4",23,20,23,21,25
"106",96,"2","1","4","5","4",23,21,26,23,25
"107",97,"2","1","4","3","2",17,20,18,14,18
"108",97,"2","1","4","3","2",19,18,19,21,19
"109",100,"1","2","4","4","3",19,22,26,16,20
"110",100,"1","2","4","4","3",24,26,19,16,21
"111",102,"2","2","3","5","6",28,22,25,26,20
"112",102,"2","2","3","5","6",24,27,22,27,22
"113",103,"2","1","5","5","4",14,11,25,23,30
"114",103,"2","1","5","5","4",20,11,26,18,32
"115",104,"2","1","4","3","7",18,26,21,23,19
"116",104,"2","1","4","3","7",17,23,21,26,20
"117",105,"1","2","6","4","4",24,30,25,29,26
"118",105,"1","2","6","4","4",25,32,29,29,31
"119",106,"1","1","4","4","4",22,22,24,24,22
"120",106,"1","1","4","4","4",22,26,23,23,22
"121",107,"2","1","4","4","5",25,20,24,21,20
"122",107,"2","1","4","4","5",25,26,29,25,23
"123",108,"1","2","4","5","4",23,27,18,16,21
"124",108,"1","2","4","5","4",18,21,12,10,14
"125",109,"1","2","6","5","7",27,34,30,29,32
"126",109,"1","2","6","5","7",28,34,31,30,31
"127",110,"2","1","3","5","1",25,24,29,19,29
"128",110,"2","1","3","5","1",26,24,27,28,29
"129",111,"2","1","4","4","4",23,28,25,23,21
"130",111,"2","1","4","4","4",26,26,24,22,24
"131",112,"1","1","2","1","2",14,26,21,20,21
"132",112,"1","1","2","1","2",13,20,21,12,19
"133",113,"2","2","5","6","3",19,28,18,21,21
"134",113,"2","2","5","6","3",26,29,25,24,24
"135",114,"1","1","2","1","1",14,21,15,17,13
"136",114,"1","1","2","1","1",18,20,18,16,16
"137",115,"1","1","4","5","3",22,21,25,22,22
"138",115,"1","1","4","5","3",21,23,22,20,28
"139",116,"1","1","1","1","1",15,14,14,16,14
"140",116,"1","1","1","1","1",15,14,18,17,15
"141",117,"2","1","3","3","5",20,20,21,19,21
"142",117,"2","1","3","3","5",21,25,20,23,23
"143",118,"2","1","5","4","3",20,19,24,18,21
"144",118,"2","1","5","4","3",19,11,17,21,20
"145",123,"2","2","2","1","2",17,11,11,16,13
"146",123,"2","2","2","1","2",14,17,15,20,18
"149",133,"2","1","4","4","3",17,13,15,18,17
"150",133,"2","1","4","4","3",16,12,17,18,17
"151",134,"1","1","3","4","4",11,6,17,8,16
"152",134,"1","1","3","4","4",15,12,17,21,17
"153",139,"2","2","5","5","5",12,12,13,18,18
"154",139,"2","2","5","5","5",18,13,18,18,20
"155",140,"2","2","5","4","4",21,20,18,24,16
"156",140,"2","2","5","4","4",20,21,14,16,17
"157",142,"1","1","4","5","2",16,25,21,21,18
"158",142,"1","1","4","5","2",15,18,16,21,17
"159",145,"2","1","3","3","3",24,19,24,23,23
"160",145,"2","1","3","3","3",23,19,26,23,27
"161",148,"1","2","4","3","4",16,19,20,9,22
"162",148,"1","2","4","3","4",14,21,18,19,18
"163",149,"2","2","5","5","5",26,33,25,29,25
"164",149,"2","2","5","5","5",27,34,29,31,25
"165",151,"2","1","3","3","4",20,20,19,21,21
"166",151,"2","1","3","3","4",24,20,21,21,21
"167",153,"1","1","3","4","4",20,18,25,15,25
"168",153,"1","1","3","4","4",13,13,16,12,22
"169",154,"2","1","3","2","2",21,20,15,19,17
"170",154,"2","1","3","2","2",15,28,17,23,14
"171",155,"2","1","3","3","7",27,15,25,23,27
"172",155,"2","1","3","3","7",23,19,27,23,28
"173",157,"1","1","6","5","7",30,34,29,31,32
"174",157,"1","1","6","5","7",30,34,32,33,32
"175",160,"1","1","4","4","4",21,11,26,20,22
"176",160,"1","1","4","4","4",24,27,26,29,23
"177",161,"2","2","3","5","3",28,20,24,25,23
"178",161,"2","2","3","5","3",24,25,28,25,27
"179",164,"2","1","5","6","4",19,29,20,18,24
"180",164,"2","1","5","6","4",22,25,24,21,24
"181",165,"2","1","5","6","2",30,32,31,30,28
"182",165,"2","1","5","6","2",30,27,31,28,29
"183",166,"2","2","4","5","5",23,20,22,24,25
"184",166,"2","2","4","5","5",21,18,17,15,18
"185",167,"2","1","4","5","3",25,18,20,23,19
"186",167,"2","1","4","5","3",24,23,23,20,20
"187",168,"2","1","3","3","4",21,24,23,28,25
"188",168,"2","1","3","3","4",22,26,28,29,28
"189",170,"2","2","5","5","3",14,22,20,10,22
"190",170,"2","2","5","5","3",22,17,21,14,23
"191",171,"2","2","3","6","6",20,25,26,23,22
"192",171,"2","2","3","6","6",21,18,19,15,18
"193",173,"1","2","4","1","2",25,23,21,27,22
"194",173,"1","2","4","1","2",20,12,16,21,21
"195",175,"2","2","4","5","4",25,27,18,21,23
"196",175,"2","2","4","5","4",24,21,26,25,26
"197",176,"2","1","5","5","5",23,28,26,25,28
"198",176,"2","1","5","5","5",24,31,24,26,27
"199",177,"2","2","3","4","3",27,24,28,28,25
"200",177,"2","2","3","4","3",30,23,31,28,31
"201",178,"2","1","4","6","5",26,24,32,26,28
"202",178,"2","1","4","6","5",25,29,32,22,30
"203",179,"1","2","3","5","4",19,28,25,25,24
"204",179,"1","2","3","5","4",25,33,28,27,23
"205",182,"2","1","4","3","4",22,20,19,13,12
"206",182,"2","1","4","3","4",20,22,18,20,17
"207",183,"2","1","1","2","2",19,17,18,20,14
"208",183,"2","1","1","2","2",17,18,19,19,16
"209",184,"2","2","5","6","4",19,20,18,22,22
"210",184,"2","2","5","6","4",24,23,21,24,23
"213",190,"1","2","4","5","5",20,30,22,22,24
"214",190,"1","2","4","5","5",24,32,23,21,27
"215",192,"1","1","3","4","4",29,35,30,31,28
"216",192,"1","1","3","4","4",30,30,29,28,30
"217",195,"2","2","5","4","2",24,20,26,20,28
"218",195,"2","2","5","4","2",17,25,16,12,19
"219",198,"1","1","3","3","4",17,20,19,19,19
"220",198,"1","1","3","3","4",16,22,18,18,21
"221",199,"2","1","2","1","2",18,12,17,12,18
"222",199,"2","1","2","1","2",17,18,20,21,20
"223",200,"1","1","3","4","3",13,17,13,12,15
"224",200,"1","1","3","4","3",11,19,12,21,11
"225",203,"2","1","1","1","2",22,23,21,14,27
"226",203,"2","1","1","1","2",24,25,23,23,30
"227",206,"1","2","5","3","4",19,20,27,22,25
"228",206,"1","2","5","3","4",18,17,18,18,22
"229",207,"2","2","3","5","3",26,28,24,25,26
"230",207,"2","2","3","5","3",28,25,25,26,28
"231",209,"2","2","3","5","3",20,24,23,22,23
"232",209,"2","2","3","5","3",25,25,25,20,28
"233",212,"2","1","5","6","4",24,24,24,24,28
"234",212,"2","1","5","6","4",22,29,27,28,25
"237",214,"1","1","3","3","1",14,14,12,13,10
"238",214,"1","1","3","3","1",14,14,18,15,16
"239",215,"1","1","4","2","3",19,12,26,20,26
"240",215,"1","1","4","2","3",21,24,28,21,27
"241",216,"1","1","1","1","1",16,23,24,26,16
"242",216,"1","1","1","1","1",16,20,21,25,14
"243",218,"2","1","6","5","7",15,14,14,23,15
"244",218,"2","1","6","5","7",16,16,17,24,17
"245",220,"1","2","4","5","4",21,27,23,28,23
"246",220,"1","2","4","5","4",26,33,25,30,26
"247",222,"2","2","4","5","4",27,13,23,18,21
"248",222,"2","2","4","5","4",20,16,20,16,25
"249",224,"2","1","6","6","7",30,26,31,27,32
"250",224,"2","1","6","6","7",30,25,29,20,31
"251",226,"1","1","3","3","2",19,31,27,27,25
"252",226,"1","1","3","3","2",22,31,26,31,25
"253",228,"2","2","6","6","4",26,24,23,23,23
"254",228,"2","2","6","6","4",24,27,23,25,24
"257",234,"2","1","5","6","3",27,17,27,22,28
"258",234,"2","1","5","6","3",28,21,22,21,30
"259",235,"1","2","3","3","2",18,25,17,26,18
"260",235,"1","2","3","3","2",23,27,25,27,26
"261",236,"2","1","5","3","4",30,25,22,22,24
"262",236,"2","1","5","3","4",30,25,23,22,25
"263",237,"1","2","1","1","3",28,21,26,26,26
"264",237,"1","2","1","1","3",24,24,32,27,28
"265",238,"2","1","5","3","3",26,28,21,29,23
"266",238,"2","1","5","3","3",26,28,28,28,29
"267",240,"1","1","6","4","3",25,25,25,25,27
"268",240,"1","1","6","4","3",27,29,28,27,27
"269",242,"2","1","3","2","1",12,11,20,14,20
"270",242,"2","1","3","2","1",16,7,24,14,24
"271",243,"2","2","4","6","7",19,19,13,18,18
"272",243,"2","2","4","6","7",15,20,19,21,19
"273",244,"2","1","1","2","4",28,29,28,29,27
"274",244,"2","1","1","2","4",31,34,30,29,30
"275",245,"2","1","3","4","4",28,28,26,25,27
"276",245,"2","1","3","4","4",30,29,26,25,28
"277",248,"1","1","3","4","5",25,30,24,26,22
"278",248,"1","1","3","4","5",23,31,25,27,24
"279",250,"2","2","4","4","4",15,18,10,18,15
"280",250,"2","2","4","4","4",18,18,16,9,17
"281",253,"1","1","2","1","2",23,24,23,24,22
"282",253,"1","1","2","1","2",22,27,27,26,23
"283",255,"1","1","4","6","3",21,22,24,21,24
"284",255,"1","1","4","6","3",25,30,25,22,20
"287",262,"2","2","5","4","5",21,18,23,21,16
"288",262,"2","2","5","4","5",25,32,21,25,22
"289",263,"1","1","3","3","4",14,23,17,16,10
"290",263,"1","1","3","3","4",17,22,15,13,15
"291",265,"2","1","1","1","2",22,12,25,18,22
"292",265,"2","1","1","1","2",20,10,21,22,22
"293",266,"2","1","1","1","1",24,23,23,23,21
"294",266,"2","1","1","1","1",24,27,24,25,24
"295",268,"2","2","1","2","1",18,17,15,12,12
"296",268,"2","2","1","2","1",20,18,16,14,14
"297",269,"2","1","3","3","3",19,17,16,13,14
"298",269,"2","1","3","3","3",23,16,18,15,17
"299",270,"2","2","3","1","2",17,13,13,10,17
"300",270,"2","2","3","1","2",21,7,16,16,18
"301",271,"2","2","3","1","2",17,11,15,16,16
"302",271,"2","2","3","1","2",13,17,19,19,14
"303",272,"2","1","4","5","3",22,22,21,22,22
"304",272,"2","1","4","5","3",20,23,24,22,24
"305",274,"2","2","2","1","1",22,11,21,12,17
"306",274,"2","2","2","1","1",17,17,17,17,18
"307",275,"1","1","6","5","2",22,26,23,24,27
"308",275,"1","1","6","5","2",11,20,21,18,21
"309",277,"1","1","5","6","4",18,23,24,21,23
"310",277,"1","1","5","6","4",23,30,22,24,25
"311",279,"1","2","3","1","3",20,26,20,18,17
"312",279,"1","2","3","1","3",19,20,16,21,18
"313",281,"1","1","6","2","4",20,24,16,23,19
"314",281,"1","1","6","2","4",24,25,17,26,22
"315",287,"2","1","5","3","4",26,29,22,23,24
"316",287,"2","1","5","3","4",19,17,21,23,22
"317",288,"2","1","6","4","3",26,17,25,10,29
"318",288,"2","1","6","4","3",22,22,22,15,25
"319",291,"2","1","2","4","3",19,19,17,19,19
"320",291,"2","1","2","4","3",17,20,18,21,19
"321",295,"2","2","3","1","3",26,24,29,27,28
"322",295,"2","2","3","1","3",12,4,15,17,18
"323",304,"2","1","3","2","2",25,25,24,25,25
"324",304,"2","1","3","2","2",25,22,21,21,25
"325",308,"2","1","5","3","5",27,19,23,24,20
"326",308,"2","1","5","3","5",29,32,27,27,22
"327",309,"2","1","3","3","2",24,22,14,18,21
"328",309,"2","1","3","3","2",22,14,16,20,23
"329",310,"2","2","3","6","4",21,19,19,18,23
"330",310,"2","2","3","6","4",24,19,25,24,24
"331",311,"2","1","2","3","2",22,24,20,20,20
"332",311,"2","1","2","3","2",24,30,24,25,24
"333",312,"2","2","2","2","1",27,20,23,16,26
"334",312,"2","2","2","2","1",25,20,23,21,25
"335",315,"1","1","5","3","2",21,31,20,21,22
"336",315,"1","1","5","3","2",17,31,19,25,18
"337",316,"1","2","3","3","2",20,29,25,26,26
"338",316,"1","2","3","3","2",15,14,17,16,21
"339",317,"2","1","2","2","4",24,22,19,18,21
"340",317,"2","1","2","2","4",22,20,18,12,21
"341",318,"1","2","2","2","3",24,30,28,25,27
"342",318,"1","2","2","2","3",19,20,17,20,20
"343",319,"1","1","3","5","3",17,24,16,22,21
"344",319,"1","1","3","5","3",21,22,19,20,22
"345",320,"1","2","5","3","2",14,14,13,14,14
"346",320,"1","2","5","3","2",10,19,13,6,13
"347",321,"2","1","3","3","2",21,26,21,21,15
"348",321,"2","1","3","3","2",21,15,18,17,17
"349",323,"1","1","3","5","4",24,32,25,27,23
"350",323,"1","1","3","5","4",26,34,29,26,24
"351",324,"2","2","4","6","5",26,20,22,20,24
"352",324,"2","2","4","6","5",28,19,22,19,25
"353",327,"2","2","3","2","4",17,17,26,23,24
"354",327,"2","2","3","2","4",13,18,18,22,19
"355",329,"1","1","3","3","2",9,17,16,21,16
"356",329,"1","1","3","3","2",12,17,13,6,12
"361",332,"1","2","3","3","3",24,28,25,26,24
"362",332,"1","2","3","3","3",21,25,25,20,22
"363",335,"1","2","3","3","3",19,28,20,18,20
"364",335,"1","2","3","3","3",17,25,19,17,12
"365",336,"2","1","4","4","3",22,28,28,21,25
"366",336,"2","1","4","4","3",21,30,28,29,19
"367",337,"2","1","3","3","2",24,23,24,26,20
"368",337,"2","1","3","3","2",22,21,21,19,22
"369",338,"1","1","4","6","1",27,34,26,26,28
"370",338,"1","1","4","6","1",27,24,21,25,23
"371",340,"1","1","3","1","2",16,18,7,17,15
"372",340,"1","1","3","1","2",11,17,14,12,14
"373",342,"2","1","4","6","3",20,20,18,21,19
"374",342,"2","1","4","6","3",17,19,15,16,19
"375",343,"2","1","3","2","3",21,16,12,11,18
"376",343,"2","1","3","2","3",21,14,18,15,17
"377",345,"1","1","4","5","4",19,22,24,24,30
"378",345,"1","1","4","5","4",22,32,27,29,30
"379",348,"2","1","2","3","3",22,28,22,25,24
"380",348,"2","1","2","3","3",23,28,25,27,24
"381",351,"2","1","4","5","4",13,12,14,20,14
"382",351,"2","1","4","5","4",14,10,19,14,16
"385",355,"1","1","4","3","2",11,12,13,16,17
"386",355,"1","1","4","3","2",10,11,15,13,14
"387",358,"2","1","4","3","3",18,15,20,22,19
"388",358,"2","1","4","3","3",19,15,21,20,14
"389",360,"1","2","3","3","4",11,11,15,9,15
"390",360,"1","2","3","3","4",21,19,19,14,18
"391",362,"2","1","3","5","4",23,15,21,12,27
"392",362,"2","1","3","5","4",21,15,21,13,24
"393",363,"2","2","4","1","2",24,24,20,24,24
"394",363,"2","2","4","1","2",22,24,22,23,22
"395",365,"2","1","5","5","4",21,16,21,16,19
"396",365,"2","1","5","5","4",16,14,19,18,19
"397",367,"2","2","3","3","3",27,28,27,27,30
"398",367,"2","2","3","3","3",21,21,24,19,25
"399",371,"1","2","3","4","3",20,25,21,23,22
"400",371,"1","2","3","4","3",17,19,20,17,22
"401",374,"1","1","1","2","2",19,28,24,20,24
"402",374,"1","1","1","2","2",16,23,22,18,21
"405",377,"2","2","3","3","1",23,13,23,19,23
"406",377,"2","2","3","3","1",20,7,19,12,21
"407",380,"2","2","3","4","3",30,21,25,25,29
"408",380,"2","2","3","4","3",24,19,23,23,29
"409",382,"1","1","4","5","5",23,34,29,29,29
"410",382,"1","1","4","5","5",24,32,29,28,30
"411",383,"1","1","4","4","6",20,13,25,12,25
"412",383,"1","1","4","4","6",9,16,19,10,21
"415",385,"1","2","3","6","4",23,29,26,29,29
"416",385,"1","2","3","6","4",27,32,24,27,24
